URL,Lokasi,Harga,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi,Jumlah Lantai
https://www.rumah123.com/properti/jakarta-barat/hos19159535/,"Kebon Jeruk, Jakarta Barat",Rp 7 Miliar,525 m²,200 m²,5,6,2,3
https://www.rumah123.com/properti/jakarta-selatan/hos39116508/,"Kebayoran Lama, Jakarta Selatan","Rp 6,5 Miliar",280 m²,200 m²,5,5,2,2
https://www.rumah123.com/properti/jakarta-utara/hos39096668/,"Kelapa Gading, Jakarta Utara","Rp 6,2 Miliar",200 m²,187 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-timur/hos39020992/,"Legenda Wisata, Jakarta Timur",Rp 825 Juta,58 m²,105 m²,3,2,1,1
https://www.rumah123.com/properti/jakarta-timur/hos19463886/,"Cibubur, Jakarta Timur","Rp 1,59 Miliar",100 m²,160 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-barat/hos39116520/,"Kembangan, Jakarta Barat","Rp 6,3 Miliar",250 m²,400 m²,5,5,2,2
https://www.rumah123.com/properti/jakarta-barat/hos39116512/,"Kalideres, Jakarta Barat",Rp 980 Juta,70 m²,78 m²,3,1,-,1
https://www.rumah123.com/properti/jakarta-timur/hos39116525/,"Pulomas, Jakarta Timur","Rp 4,7 Miliar",235 m²,190 m²,4,5,3,2
https://www.rumah123.com/properti/jakarta-utara/hos39116524/,"Kelapa Gading, Jakarta Utara","Rp 5,2 Miliar",221 m²,144 m²,4,3,2,3
https://www.rumah123.com/properti/jakarta-pusat/hos16636721/,"Menteng, Jakarta Pusat","Rp 4,35 Miliar",120 m²,180 m²,5,2,2,1
https://www.rumah123.com/properti/jakarta-utara/hos39116517/,"Sunter, Jakarta Utara","Rp 2,7 Miliar",168 m²,98 m²,4,3,2,2
https://www.rumah123.com/properti/jakarta-pusat/hos7450770/,"Menteng, Jakarta Pusat","Rp 40,2 Miliar",363 m²,537 m²,5,3,2,2
https://www.rumah123.com/properti/jakarta-timur/hos17223647/,"Cibubur, Jakarta Timur","Rp 1,95 Miliar",210 m²,170 m²,3,3,1,2
https://www.rumah123.com/properti/jakarta-timur/hos19369455/,"Rawamangun, Jakarta Timur","Rp 3,3 Miliar",524 m²,262 m²,5,3,2,3
https://www.rumah123.com/properti/jakarta-timur/hos17233481/,"Cibubur, Jakarta Timur","Rp 2,3 Miliar",118 m²,144 m²,3,3,2,2
https://www.rumah123.com/properti/jakarta-timur/hos19402814/,"Rawamangun, Jakarta Timur","Rp 4,5 Juta",250 m²,175 m²,6,4,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos8055275/,"Duren Tiga, Jakarta Selatan",Rp 50 Miliar,1000 m²,3219 m²,6,5,30,-
https://www.rumah123.com/properti/jakarta-timur/hos16106616/,"Duren Sawit, Jakarta Timur","Rp 3,6 Miliar",190 m²,159 m²,5,3,2,2
https://www.rumah123.com/properti/jakarta-timur/hos19349142/,"Duren Sawit, Jakarta Timur","Rp 2,97 Miliar",240 m²,190 m²,4,2,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos18891256/,"Tebet, Jakarta Selatan",Rp 12 Miliar,327 m²,327 m²,6,6,6,2
https://www.rumah123.com/properti/jakarta-timur/hos39116518/,"Cakung, Jakarta Timur","Rp 4,8 Miliar",156 m²,156 m²,5,4,-,-
https://www.rumah123.com/properti/jakarta-timur/hos16993222/,"Jatinegara, Jakarta Timur","Rp 2,5 Miliar",225 m²,70 m²,3,3,1,4
https://www.rumah123.com/properti/jakarta-timur/hos19309539/,"Cibubur, Jakarta Timur",Rp 795 Juta,75 m²,50 m²,3,2,2,2
https://www.rumah123.com/properti/jakarta-timur/hos19467897/,"Duren Sawit, Jakarta Timur","Rp 2,79 Miliar",320 m²,252 m²,3,4,1,2
https://www.rumah123.com/properti/jakarta-selatan/hos19036644/,"Kebagusan, Jakarta Selatan",Rp 600 Juta,65 m²,34 m²,3,2,1,2
https://www.rumah123.com/properti/jakarta-timur/hos39112346/,"Rawamangun, Jakarta Timur","Rp 6,3 Miliar",150 m²,260 m²,4,4,5,2
https://www.rumah123.com/properti/jakarta-selatan/hos11316023/,"Tebet, Jakarta Selatan","Rp 2,7 Miliar",120 m²,146 m²,3,2,1,1
https://www.rumah123.com/properti/jakarta-selatan/hos19248217/,"Pesanggrahan, Jakarta Selatan","Rp 6,5 Miliar",440 m²,229 m²,5,4,6,3
https://www.rumah123.com/properti/jakarta-selatan/hos39078104/,"Kalibata, Jakarta Selatan",Rp 17 Miliar,700 m²,759 m²,5,4,2,2
https://www.rumah123.com/properti/jakarta-timur/hos18788538/,"Pondok Bambu, Jakarta Timur","Rp 2,5 Miliar",260 m²,248 m²,6,3,1,1
https://www.rumah123.com/properti/jakarta-timur/hos39116176/,"Cipayung, Jakarta Timur","Rp 2,49 Miliar",360 m²,630 m²,3,3,3,1
https://www.rumah123.com/properti/jakarta-timur/hos39079293/,"Duren Sawit, Jakarta Timur","Rp 7,5 Miliar",182 m²,300 m²,6,3,1,1
https://www.rumah123.com/properti/jakarta-selatan/hos39116487/,"Tebet, Jakarta Selatan","Rp 12,9 Miliar",400 m²,393 m²,4,3,4,2
https://www.rumah123.com/properti/jakarta-barat/hos39116514/,"Tanjung Duren, Jakarta Barat","Rp 2,3 Miliar",154 m²,77 m²,4,2,-,1
https://www.rumah123.com/properti/jakarta-utara/hos39116343/,"Cilincing, Jakarta Utara","Rp 1,6 Miliar",214 m²,187 m²,4,4,-,1
https://www.rumah123.com/properti/jakarta-utara/hos38996637/,"Pademangan, Jakarta Utara","Rp 2,7 Miliar",324 m²,108 m²,3,2,-,1
https://www.rumah123.com/properti/jakarta-utara/hos38950656/,"Kelapa Gading, Jakarta Utara",Rp 6 Miliar,200 m²,180 m²,4,3,2,1
https://www.rumah123.com/properti/jakarta-utara/hos39116507/,"Pegangsaan, Jakarta Utara","Rp 3,25 Miliar",260 m²,144 m²,4,2,-,-
https://www.rumah123.com/properti/jakarta-selatan/hos18642420/,"SCBD, Jakarta Selatan",Rp 170 Miliar,800 m²,1715 m²,5,4,5,2
https://www.rumah123.com/properti/jakarta-barat/hos39116503/,"Kalideres, Jakarta Barat","Rp 2,3 Miliar",200 m²,72 m²,4,3,1,1
https://www.rumah123.com/properti/jakarta-selatan/hos39116284/,"Kebayoran Baru, Jakarta Selatan",Rp 4 Miliar,300 m²,277 m²,5,4,2,2
https://www.rumah123.com/properti/jakarta-pusat/hos19142465/,"Thamrin, Jakarta Pusat","Rp 3,5 Miliar",193 m²,112 m²,2,3,-,2
https://www.rumah123.com/properti/jakarta-selatan/hos39012184/,"Pesanggrahan, Jakarta Selatan","Rp 5,5 Miliar",350 m²,260 m²,5,6,2,3
https://www.rumah123.com/properti/jakarta-selatan/hos38971673/,"Pesanggrahan, Jakarta Selatan",Rp 3 Miliar,250 m²,176 m²,4,4,2,2
https://www.rumah123.com/properti/jakarta-selatan/hos39013026/,"Pesanggrahan, Jakarta Selatan","Rp 1,85 Miliar",170 m²,88 m²,4,4,1,2
https://www.rumah123.com/properti/jakarta-barat/hos19504246/,"Permata Buana, Jakarta Barat","Rp 8,95 Miliar",400 m²,144 m²,4,4,1,3
https://www.rumah123.com/properti/jakarta-utara/hos18097686/,"Kelapa Gading, Jakarta Utara","Rp 2,65 Miliar",156 m²,102 m²,2,3,-,-
https://www.rumah123.com/properti/jakarta-utara/hos39116498/,"Penjaringan, Jakarta Utara","Rp 1,65 Miliar",190 m²,68 m²,4,3,-,1
https://www.rumah123.com/properti/jakarta-barat/hos39116497/,"Meruya, Jakarta Barat",Rp 3 Miliar,300 m²,207 m²,5,3,-,1
https://www.rumah123.com/properti/jakarta-utara/hos39116496/,"Pantai Indah Kapuk 2, Jakarta Utara","Rp 1,65 Miliar",100 m²,60 m²,2,1,2,2
