URL,Lokasi,Harga
https://www.properti123.com/properti-jual/7331-disewakan-dikontrakan-rumah-oasis-ciracas-mansion-jakarta-timur,"Kota Jakarta Timur, Dki Jakarta",Rp 3.75 Juta
https://www.properti123.com/properti-jual/7322-dijual-rumah-termurah-di-kahfi-1-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1 Milliar
https://www.properti123.com/properti-jual/7320-dijual-ruko-termurah-di-jln-raya-radio-dalam-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 5.6 Milliar
https://www.properti123.com/properti-jual/7301-dijual-rumah-non-cluster-di-jln-sirsak-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.26 Milliar
https://www.properti123.com/properti-jual/7300-dijual-murah-rumah-non-cluster-di-jln-batu-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.6 Milliar
https://www.properti123.com/properti-jual/7299-rumah-mewah-4kt-di-meruya-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 6.25 Milliar
https://www.properti123.com/properti-jual/7298-rumah-kost-21kt-di-gambir-jakarta-pusat,"Kota Jakarta Pusat, Dki Jakarta",Rp 12.25 Milliar
https://www.properti123.com/properti-jual/7295-dijual-rumah-cluster-mewah-modern-minimalis-di-jln-warung-sila-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.9 Milliar
https://www.properti123.com/properti-jual/7189-rumah-smart-home-lokasi-strategis-nempel-kota-harapan-indah-timur-jakarta-bekasi,"Kabupaten Bekasi, Jawa Barat",Rp 439 Juta
https://www.properti123.com/properti-jual/7173-dijual-murah-rumah-non-cluster-di-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.4 Milliar
https://www.properti123.com/properti-jual/7170-dijual-murah-rumah-cluster-di-warung-sila-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 900 Juta
https://www.properti123.com/properti-jual/7160-dijual-murah-rumah-cluster-di-jln-bhakti-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 900 Juta
https://www.properti123.com/properti-jual/7145-dijual-cepat-rumah-siap-huni-di-jakarta-selatan-tanpa-perantara,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.23 Milliar
https://www.properti123.com/properti-jual/7139-dijual-rumah-kost-20-kamar-terisi-penuh-di-tanjung-duren-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 4.7 Milliar
https://www.properti123.com/properti-jual/7097-dijual-rumah-mewah-hook-super-bu-dekat-stasiun-mrt-lebak-bulus-dan-point-square,"Kota Jakarta Selatan, Dki Jakarta",Rp 18.9 Milliar
https://www.properti123.com/properti-jual/7092-rumah-dijual-di-jagakarsa-dekat-aeon-mall-tanjung-barat-dan-stasiun-tanjung-barat,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.1 Milliar
https://www.properti123.com/properti-jual/7076-dijual-murah-cocok-untuk-rumah-tinggal-atau-rumah-kost-di-tanjung-priok-jakarta-utara,"Kota Jakarta Utara, Dki Jakarta",Rp 1.25 Milliar
https://www.properti123.com/properti-jual/7042-hanya-75-meter-ke-jalan-lebak-bulus-raya-full-furnished-bos,"Kota Jakarta Selatan, Dki Jakarta",Rp 9.9 Milliar
https://www.properti123.com/properti-jual/7023-edisi-turun-harga-dijual-rumah-di-jln-sadar-raya-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.8 Milliar
https://www.properti123.com/properti-jual/7020-dijual-murah-rumah-cluster-di-jln-timbul-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 2.7 Milliar
https://www.properti123.com/properti-jual/6995-rumah-luas-nyaman-jalan-depan-lebar-di-kompleks-area-lebak-bulus,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.65 Milliar
https://www.properti123.com/properti-jual/6979-rumah-dijual-murah-dekat-pgc-cililitan-kampus-uki-kantor-bkn-dan-kantor-asabri,"Kota Jakarta Timur, Dki Jakarta",Rp 480 Juta
https://www.properti123.com/properti-jual/6930-dijual-rumah-putih-bersih-harga-miring-daerah-kembangan-utara-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 1.3 Milliar
https://www.properti123.com/properti-jual/6899-rumah-dijual-di-jl-swasembada-barat-tanjung-priok-dekat-kantor-walikota-jakarta-utara,"Kota Jakarta Utara, Dki Jakarta",Rp 900 Juta
https://www.properti123.com/properti-jual/6867-dijual-murah-ruko-baru-di-jln-prof-soepomo-tebet-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 4.8 Milliar
https://www.properti123.com/properti-jual/6845-dijual-rumah-termurah-di-jln-aselih-jagakarsa-jakarta-selatandijual-rumah-termurah-di-jln-aselih-jagakarsa-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 1.1 Milliar
https://www.properti123.com/properti-jual/6803-rumah-kost-griya-hikari-alpukat-3-tanjung-duren,"Kota Jakarta Barat, Dki Jakarta",Rp 12.5 Milliar
https://www.properti123.com/properti-jual/6783-rumah-mewah-bonus-kolam-renang-mulai-dari-3-2-milyar-sj-di-pesanggrahan-jakarta-selatan,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.2 Milliar
https://www.properti123.com/properti-sewa/6763-kontrakan-jagakarsa-nyaman-bersih-dan-aman,"Kota Jakarta Selatan, Dki Jakarta",Rp 3.5 Juta
https://www.properti123.com/properti-jual/6761-jual-murah-kost-griya-asri-grogol-jakarta-barat,"Kota Jakarta Barat, Dki Jakarta",Rp 6.5 Milliar
https://www.properti123.com/properti-jual/6709-rumah-kost-murah-38-kamar-di-kawasan-mangga-besar-siap-huni-hanya-9-6-m-sj,"Kota Jakarta Barat, Dki Jakarta",Rp 9.6 Milliar
